Date,Actual,Predicted
1006,176.86507084939998,177.47918648394514
1007,176.13377424979998,177.5005682682737
1008,175.2937713989,177.64713688126523
1009,176.2029509552,177.4913739711762
1010,173.0109401218,177.37834381259032
1011,171.2617577147,177.37740174761302
1012,177.52719074360002,177.3867469731886
1013,180.3930828231,177.3926632422497
1014,183.0415624,177.38603282956
1015,187.9135789351,177.38169902268214
1016,190.3149988499,177.3818195384597
1017,192.5187710352,177.38248571833344
1018,191.9060630734,177.38271452162093
1019,191.8665335274,177.3824237874563
1020,190.4731170336,177.38225234701125
1021,191.6095914789,177.38226647981708
1022,196.1159597142,177.382303551144
1023,195.5427812984,177.3823119485861
1024,197.1140807488,177.38229889980647
1025,196.4420784681,177.3822919945642
1026,196.2444307385,177.38229304302132
1027,193.2698324077,177.382294909327
1028,197.4500818892,177.3822951943393
1029,197.3907875703,177.38229459954348
1030,195.5921932308,177.38229431950785
1031,199.1794995233,177.38229438517575
1032,200.3456211281,177.3822944742775
1033,202.0058620569,177.3822944826539
1034,201.8279791002,177.38229445531337
1035,197.6674943918,177.38229444398186
1036,198.8731455424,177.3822944477418
1037,200.8397404521,177.38229445185848
1038,199.377147253,177.38229445202546
1039,200.9089171575,177.3822944507651
1040,202.7964529754,177.3822944503111
1041,202.0948035352,177.38229445051473
1042,200.9583290899,177.38229445070064
1043,203.241160367,177.38229445069837
1044,200.2072677174,177.38229445064033
1045,204.782812658,177.38229445062245
1046,206.3837592679,177.38229445063308
1047,206.2157586978,177.38229445064133
1048,204.5851649284,177.38229445064079
1049,205.296696755,177.3822944506381
1050,207.2138797323,177.38229445063743
1051,206.3244649491,177.38229445063797
1052,210.5343615899,177.38229445063834
1053,205.9785814222,177.38229445063828
1054,201.6204489841,177.38229445063817
1055,191.0660602225,177.38229445063814
1056,194.6830136745,177.38229445063817
1057,196.6990205166,177.3822944506382
1058,201.0373881818,177.3822944506382
1059,199.3870296394,177.3822944506382
1060,198.88109708,177.3822944506382
1061,207.3033861573,177.3822944506382
1062,201.1329929817,177.3822944506382
1063,200.1310481092,177.3822944506382
1064,204.8530853303,177.3822944506382
1065,208.6723801416,177.3822944506382
1066,208.6823003878,177.3822944506382
1067,210.9441165358,177.3822944506382
1068,210.7655521031,177.3822944506382
1069,201.0238702728,177.3822944506382
1070,204.8431650841,177.3822944506382
1071,202.5317477048,177.3822944506382
1072,203.8908214428,177.3822944506382
1073,207.3430671423,177.3822944506382
1074,207.0752204932,177.3822944506382
1075,204.0594656293,177.3822944506382
1076,207.5216315751,177.3822944506382
1077,211.5790122966,177.3822944506382
1078,211.5591718041,177.3822944506382
1079,212.461914214,177.3822944506382
1080,214.9717365186,177.3822944506382
1081,221.8067861937,177.3822944506382
1082,221.3058137575,177.3822944506382
1083,217.0053870025,177.3822944506382
1084,218.1462153227,177.3822944506382
1085,218.9398350237,177.3822944506382
1086,220.9933260002,177.3822944506382
1087,219.1977614266,177.3822944506382
1088,215.9935218836,177.3822944506382
1089,216.9756262637,177.3822944506382
1090,215.9439206523,177.3822944506382
1091,219.2672031504,177.3822944506382
1092,218.1362950764,177.3822944506382
1093,217.0748287263,177.3822944506382
1094,222.1837555517,177.3822944506382
1095,222.79881082,177.3822944506382
1096,217.213712174,177.3822944506382
1097,219.0588779789,177.3822944506382
1098,225.1995104157,177.3822944506382
1099,225.249111647,177.3822944506382
1100,222.610326141,177.3822944506382
1101,225.2193509082,177.3822944506382
1102,228.2549462647,177.3822944506382
1103,234.3261369776,177.3822944506382
1104,233.9888486047,177.3822944506382
1105,233.4432350602,177.3822944506382
1106,232.5008116652,177.3822944506382
1107,233.4035540752,177.3822944506382
1108,234.5245419029,177.3822944506382
1109,238.5918428707,177.3822944506382
1110,238.0462293262,177.3822944506382
1111,241.2405486229,177.3822944506382
1112,241.6373584734,177.3822944506382
1113,244.6134323523,177.3822944506382
1114,247.0637331793,177.3822944506382
1115,241.3496713318,177.3822944506382
1116,241.319910593,177.3822944506382
1117,246.7760460376,177.3822944506382
1118,253.7797398993,177.3822944506382
1119,255.4463412715,177.3822944506382
1120,255.0792921597,177.3822944506382
1121,255.1884148686,177.3822944506382
1122,258.1248077625,177.3822944506382
1123,258.8312357527,177.3822944506382
1124,260.8808718935,177.3822944506382
1125,260.6420793334,177.3822944506382
1126,263.1394515243,177.3822944506382
1127,261.3186582536,177.3822944506382
1128,264.4229615347,177.3822944506382
1129,265.7562199952,177.3822944506382
1130,264.9502951049,177.3822944506382
1131,261.8658912038,177.3822944506382
1132,260.6918277834,177.3822944506382
1133,260.46298491330003,177.3822944506382
1134,265.029892625,177.3822944506382
1135,262.9603571042,177.3822944506382
1136,266.4924970555,177.3822944506382
1137,265.9054653453,177.3822944506382
1138,262.8310111342,177.3822944506382
1139,258.1447071425,177.3822944506382
1140,260.42318615330004,177.3822944506382
1141,264.24386711470004,177.3822944506382
1142,269.34805808650003,177.3822944506382
1143,265.5771255752,177.3822944506382
1144,267.1292772157,177.3822944506382
1145,269.4077562265,177.3822944506382
1146,270.0942848368,177.3822944506382
1147,273.7657204481,177.3822944506382
1148,278.4520244398,177.3822944506382
1149,278.99925739,177.3822944506382
1150,278.3326281597,177.3822944506382
1151,278.6112194798,177.3822944506382
1152,278.0341374596,177.3822944506382
1153,282.5711961012,177.3822944506382
1154,282.8398377313,177.3822944506382
1155,288.4514628933,177.3822944506382
1156,288.3420163033,177.3822944506382
1157,290.0533629839,177.3822944506382
1158,292.1726469547,177.3822944506382
1159,298.8389392571,177.3822944506382
1160,295.933629776,177.3822944506382
1161,298.2917063069,177.3822944506382
1162,296.8888000164,177.3822944506382
1163,301.6646512181,177.3822944506382
1164,308.0722515804,177.3822944506382
1165,308.7687298806,177.3822944506382
1166,315.365374353,177.3822944506382
1167,311.10690703150004,177.3822944506382
1168,309.773648571,177.3822944506382
1169,313.6540276724,177.3822944506382
1170,317.12646948360003,177.3822944506382
1171,314.9773364429,177.3822944506382
1172,316.10165141330003,177.3822944506382
1173,317.6239539838,177.3822944506382
1174,316.7085825035,177.3822944506382
1175,307.3956726601,177.3822944506382
1176,316.0917017233,177.3822944506382
1177,322.7082455756,177.3822944506382
1178,322.2406101455,177.3822944506382
1179,307.9528553003,177.3822944506382
1180,307.10713165,177.3822944506382
1181,317.2458657637,177.3822944506382
1182,319.8327851646,177.3822944506382
1183,323.5738686059,177.3822944506382
1184,319.1860553144,177.3822944506382
1185,320.7020469529,177.3822944506382
1186,318.7671628879,177.3822944506382
1187,326.3371474514,177.3822944506382
1188,324.0132918476,177.3822944506382
1189,324.0930808812,177.3822944506382
1190,318.1587715067,177.3822944506382
1191,322.7665881975,177.3822944506382
1192,319.4553433028,177.3822944506382
1193,312.2244621322,177.3822944506382
1194,297.3936755105,177.3822944506382
1195,287.3203100177,177.3822944506382
1196,291.8782585625,177.3822944506382
1197,272.7987059013,177.3822944506382
1198,272.6391278341,177.3822944506382
1199,298.0220141502,177.3822944506382
1200,288.5570400386,177.3822944506382
1201,301.9416504261,177.3822944506382
1202,292.1475465509,177.3822944506382
1203,288.2678047918,177.3822944506382
1204,265.4680884387,177.3822944506382
1205,284.5875356167,177.3822944506382
1206,274.7036690786,177.3822944506382
1207,247.57539765240003,177.3822944506382
1208,277.2369708956,177.3822944506382
1209,241.5712728735,177.3822944506382
1210,252.1931879723,177.3822944506382
1211,246.019511497,177.3822944506382
1212,244.1344955781,177.3822944506382
1213,228.6354758,177.3822944506382
1214,223.7783183792,177.3822944506382
1215,246.2289577102,177.3822944506382
1216,244.8725441389,177.3822944506382
1217,257.7584730664,177.3822944506382
1218,247.0866898215,177.3822944506382
1219,254.1380456665,177.3822944506382
1220,253.6194169481,177.3822944506382
1221,240.2747010773,177.3822944506382
1222,244.2841000161,177.3822944506382
1223,240.7733825374,177.3822944506382
1224,261.7778456343,177.3822944506382
1225,258.7458623573,177.3822944506382
1226,265.3683521466,177.3822944506382
1227,267.2832889532,177.3822944506382
1228,272.5294179128,177.3822944506382
1229,286.29302621,177.3822944506382
1230,283.6799353594,177.3822944506382
1231,285.9339755588,177.3822944506382
1232,282.0542337996,177.3822944506382
1233,276.19971345880003,177.3822944506382
1234,267.6622868628,177.3822944506382
1235,275.3719022351,177.3822944506382
1236,274.3047239106,177.3822944506382
1237,282.2237854961,177.3822944506382
1238,282.4232580801,177.3822944506382
1239,277.8453622769,177.3822944506382
1240,286.9712329957,177.3822944506382
1241,293.0252259206,177.3822944506382
1242,288.3076993086,177.3822944506382
1243,292.3869136517,177.3822944506382
1244,296.7753105001,177.3822944506382
1245,299.8372146647,177.3822944506382
1246,302.9390133462,177.3822944506382
1247,310.13,177.3822944506382
1248,315.01,177.3822944506382
1249,311.41,177.3822944506382
1250,307.65,177.3822944506382
1251,309.54,177.3822944506382
1252,307.71,177.3822944506382
1253,314.96,177.3822944506382
1254,313.14,177.3822944506382
1255,319.23,177.3822944506382
1256,316.85,177.3822944506382
1257,318.89,177.3822944506382
